Game,Player1,Player2,Move
0,Draw,Draw,48
2,Lose,Win,31
3,Lose,Win,52
4,Draw,Draw,26
5,Draw,Draw,65
6,Lose,Win,54
7,Draw,Draw,57
8,Draw,Draw,53
9,Draw,Draw,57
10,Draw,Draw,52
11,Draw,Draw,54
12,Draw,Draw,70
13,Draw,Draw,60
14,Lose,Win,70
15,Draw,Draw,52
16,Win,Lose,38
17,Draw,Draw,63
18,Win,Lose,38
19,Lose,Win,50
20,Lose,Win,61
21,Lose,Win,27
22,Win,Lose,43
23,Lose,Win,43
24,Lose,Win,37
25,Draw,Draw,78
26,Lose,Win,58
27,Draw,Draw,66
28,Lose,Win,46
29,Draw,Draw,86
30,Draw,Draw,69
31,Draw,Draw,42
32,Draw,Draw,48
33,Lose,Win,115
34,Lose,Win,33
35,Draw,Draw,65
36,Draw,Draw,69
37,Lose,Win,28
38,Draw,Draw,66
39,Lose,Win,49
40,Lose,Win,58
41,Lose,Win,64
42,Draw,Draw,65
43,Draw,Draw,46
44,Draw,Draw,52
45,Draw,Draw,58
46,Lose,Win,68
47,Lose,Win,54
48,Win,Lose,14
49,Lose,Win,55
50,Lose,Win,35
51,Win,Lose,69
52,Draw,Draw,30
53,Draw,Draw,86
54,Lose,Win,33
55,Lose,Win,36
56,Draw,Draw,144
57,Win,Lose,28
58,Lose,Win,40
59,Lose,Win,53
60,Win,Lose,219
61,Lose,Win,53
62,Lose,Win,126
63,Draw,Draw,66
64,Lose,Win,50
65,Lose,Win,47
66,Draw,Draw,33
67,Draw,Draw,124
68,Draw,Draw,45
69,Lose,Win,45
70,Lose,Win,41
71,Lose,Win,56
72,Lose,Win,99
73,Lose,Win,51
74,Lose,Win,29
75,Lose,Win,44
76,Lose,Win,48
77,Win,Lose,31
78,Lose,Win,44
79,Draw,Draw,47
80,Draw,Draw,40
81,Draw,Draw,58
82,Win,Lose,22
83,Lose,Win,39
84,Draw,Draw,56
85,Draw,Draw,66
86,Draw,Draw,72
87,Draw,Draw,105
88,Draw,Draw,62
89,Draw,Draw,86
90,Draw,Draw,51
91,Draw,Draw,103
92,Lose,Win,38
93,Lose,Win,53
94,Win,Lose,19
95,Draw,Draw,113
96,Lose,Win,37
97,Draw,Draw,172
98,Draw,Draw,131
99,Lose,Win,49
100,Lose,Win,34
