Game,Player1,Player2,Move
1,Draw,Draw,96
2,Win,Lose,129
3,Draw,Draw,331
4,Draw,Draw,238
5,Draw,Draw,238
6,Draw,Draw,165
7,Draw,Draw,213
8,Draw,Draw,167
9,Draw,Draw,301
10,Draw,Draw,232
11,Draw,Draw,265
12,Lose,Win,50
13,Draw,Draw,137
14,Draw,Draw,115
15,Draw,Draw,322
16,Draw,Draw,151
17,Draw,Draw,261
18,Draw,Draw,162
19,Draw,Draw,351
20,Lose,Win,193
21,Draw,Draw,235
22,Draw,Draw,202
23,Draw,Draw,306
24,Draw,Draw,87
25,Lose,Win,71
26,Draw,Draw,163
27,Lose,Win,116
28,Draw,Draw,104
29,Draw,Draw,106
30,Draw,Draw,219
31,Lose,Win,42
32,Draw,Draw,109
33,Draw,Draw,192
34,Draw,Draw,215
35,Draw,Draw,137
36,Draw,Draw,234
37,Win,Lose,23
38,Draw,Draw,260
39,Draw,Draw,165
40,Draw,Draw,125
41,Win,Lose,176
42,Draw,Draw,149
43,Draw,Draw,121
44,Draw,Draw,135
45,Draw,Draw,150
46,Draw,Draw,104
47,Draw,Draw,177
48,Draw,Draw,102
49,Win,Lose,156
50,Draw,Draw,297
51,Draw,Draw,170
52,Draw,Draw,424
53,Draw,Draw,349
54,Draw,Draw,362
55,Draw,Draw,203
56,Draw,Draw,216
57,Draw,Draw,132
58,Draw,Draw,297
59,Draw,Draw,218
60,Draw,Draw,162
61,Draw,Draw,469
62,Draw,Draw,217
63,Draw,Draw,141
64,Draw,Draw,180
65,Draw,Draw,185
66,Win,Lose,48
67,Draw,Draw,276
68,Draw,Draw,184
69,Draw,Draw,156
70,Draw,Draw,83
71,Draw,Draw,164
72,Win,Lose,103
73,Draw,Draw,328
74,Draw,Draw,389
75,Draw,Draw,159
76,Draw,Draw,328
77,Draw,Draw,281
78,Draw,Draw,280
79,Draw,Draw,222
80,Draw,Draw,119
81,Draw,Draw,117
82,Win,Lose,27
83,Win,Lose,107
84,Draw,Draw,180
85,Draw,Draw,211
86,Draw,Draw,184
87,Draw,Draw,166
88,Draw,Draw,240
89,Draw,Draw,103
90,Draw,Draw,153
91,Draw,Draw,258
92,Draw,Draw,157
93,Draw,Draw,135
94,Draw,Draw,179
95,Draw,Draw,194
96,Draw,Draw,196
97,Draw,Draw,348
98,Draw,Draw,138
99,Draw,Draw,151
100,Draw,Draw,158
101,Draw,Draw,261
102,Draw,Draw,227
103,Draw,Draw,203
104,Draw,Draw,235
105,Draw,Draw,179
106,Draw,Draw,67
107,Lose,Win,137
108,Draw,Draw,169
109,Draw,Draw,221
110,Draw,Draw,143
111,Draw,Draw,234
112,Draw,Draw,289
113,Draw,Draw,173
114,Draw,Draw,122
115,Draw,Draw,495
116,Lose,Win,45
117,Draw,Draw,151
118,Draw,Draw,177
119,Draw,Draw,179
120,Draw,Draw,218
121,Draw,Draw,289
122,Win,Lose,89
123,Draw,Draw,327
124,Draw,Draw,237
125,Draw,Draw,288
126,Lose,Win,72
127,Draw,Draw,228
128,Draw,Draw,227
129,Draw,Draw,165
130,Draw,Draw,286
131,Draw,Draw,124
